lambda rate acc
-0.2 1.0000 0.7399
-0.1 0.9769 0.7370
-0.05 0.6127 0.7168
0.0 0.4798 0.6821
0.02 0.4220 0.6705
0.05 0.3208 0.6561
0.1 0.1329 0.5780
0.2 0.0000 0.5405
0.3 0.0000 0.5405
0.5 0.0000 0.5405
