lambda rate acc
-0.2 0.9335 0.7341
-0.1 0.7225 0.7399
-0.05 0.6301 0.7283
0.0 0.5780 0.7110
0.02 0.5549 0.7081
0.05 0.5405 0.7052
0.1 0.4769 0.7081
0.2 0.3266 0.6676
0.3 0.1936 0.6358
0.5 0.0405 0.5723
