rate acc sd
0.20 0.6361 0.0031
0.30 0.6679 0.0051
0.40 0.6926 0.0039
0.50 0.7095 0.0031
0.60 0.7191 0.0031
0.70 0.7277 0.0049
0.80 0.7292 0.0046
0.90 0.7323 0.0041
1.00 0.7399 0.0000
